OPP
Mama Weer All Crazee Now
Leave (Get Out)
Oye Como Va
Turn! Turn! Turn! (To Everything There is a Season)
Don't Bring Me Down
Let's Talk About Sex
Winter Wonderland
Flap Your Wings
Because of You
The Last Time I Saw Paris
Only You
Cinderella Rockefella
If You Leave Me Now
I'll Be Waiting
I'm Every Woman
As Time Goes By
Can't Buy Me Love
(Let's Get) Physical
Till The End of Time
Tangerine
Being With You
Everyday People
Mockingbird Hill
Livin' Thing
La Bamba
Friday On My Mind
Love Rollercoaster
Naughty Girl
Abba-Esque
London Bridge
"""Seemann, deine Heimat ist das Meer"""
Leave Me Alone (Ruby Red Dress)
Piove (Ciao ciao bambina)
I Don't Know Anybody Else
Urgent
Eight Days a Week
I Should Be So Lucky
Immortality
Kingston Town
Dizzy
Can't Get Enough of Your Love
Nightshift
The Flame
Save the Last Dance For Me
The Woody Woodpecker Song
Hopelessly Devoted to You
Electrical Storm
All Out of Love
Now Is the Hour (Maori Farewell Song)
I Was Made to Love Her
The Second Time Around
On Broadway
Linger
Russian Roulette
High & Dry
So Sad (To Watch Good Love Go Bad)
Laughter in the Rain
Lose My Breath
Homeward Bound
Desafinado (Slightly Out Of Tune)
Story of My Life
Brianstorm
That Don't Impress Me Much
1999
Message in a Bottle
No Matter What
April In Portugal (The Whisp'ring Serenade)
Me & You & a Dog Named Boo
Ruby Baby
It's So Hard to Say Goodbye to Yesterday
E.T.
Da Da Da ich lieb dich nicht du liebst mich nicht aha aha aha
Bei Mir Bist Du Schoen
The Logical Song
Ain't Too Proud to Beg
Love Hurts
Stuck in a Moment You Can't Get Out Of
Dust in the Wind
Don't Cry For Me Argentina
Check On It
Time (Clock of the Heart)
Crying
My Ding-A-Ling
Oh
Ten Cents a Dance
Heart of Gold
La Isla Bonita
Hall Of Fame
"""Please, Mister Sun"""
Your Woman
Someone Like You
Play That Funky Music
Down Yonder
Margie
Howzat
Making Love (Out of Nothing At All)
Desire
"""Any Time, Any Place"""
Tammy
I Wonder Why
St George & the Dragonette
Christmas Time (Don't Let the Bells End)
Hotel California
Down By the Lazy River
How We Do
Kiss Me Quick
I Don't Feel Like Dancin'
Out of Touch
Roundabout
My Heart Cries For You
I Don't Want to Miss a Thing
Gangsta Lovin'
Ghetto Gospel
Saturday in the Park
Dragostea Din Tei
Some Like it Hot
A Good Heart
Suspicious Minds
Give Me Everything
Tell Me a Story
Love Takes Time
Songbird
New Sensation
When the Lights Go Out
Purple People Eater
Where Or When
Foolish
Sh-Boom (Life Could Be a Dream)
I Just Can't Stop Loving You
Paradise
Chantilly Lace
Stop! in the Name of Love
Somebody to Love
Fast Love
"""Please Help Me, I'm Falling"""
Endless Summer Nights
Some Might Say
Your Song
Wrecking Ball
Respect
How Do You Talk To An Angel
Incense & Peppermints
Would I Lie to You?
Morning Train (Nine to Five)
Get Up (Before the Night is Over)
Toxic
Jump
The Twelfth of Never
Black Horse & the Cherry Tree
Burning Up
Love Somebody
Shake Your Love
God is a DJ
The Loco-Motion
From Me to You
Satisfied
Pretty Flamingo
The Rain
The Most Beautiful Girl in the World
In The Rain
Lovegame
Candy
Anybody Seen My Baby
"""Beloved, Be Faithful"""
Three Coins in the Fountain
When Doves Cry
Peggy Sue
Sentimental Me
Tighten Up
Baby Don't Get Hooked On Me
The Way You do the Things You Do
Every Day Of The Week
Never Ending Story
Whisky in the Jar
Mamma Mia
California Love
L'oiseau Et L'enfant
Hey Paula
Hold It Against Me
Ice Ice Baby
Nature Boy
Torn Between Two Lovers
Hippy Hippy Shake
North to Alaska
Prince Charming
My Boyfriend's Back
Sk8er Boi
Run This Town
No No Song
Can't Let Go
Meet Me Half Way
I Don't Want Your Love
Stormy Weather (Keeps Rainin' All the Time)
After the Love Has Gone
Sunshine On My Shoulders
Can't Stop Loving You
Smiling Faces Sometimes
Like I Love You
Only Women Bleed
The Love You Save
Paranoid Android
Shake Your Groove Thing
Womanizer
One Night
Diamonds & Pearls
Nowhere Man
April Love
Who's Sorry Now?
"""Eh, cumpari"""
Don't
Love Bites
"""Signed, Sealed, Delivered, I'm Yours"""
Reach
Domino
Love In This Club
Don't Lie
You Made Me Love You (I Didn't Want to Do It)
Vision of Love
Layla
Ma Baker
How 'bout Us
Sometimes
Don't Forget to Remember
Live Your Life
Around The World (La La La La La)
There's a Kind of Hush
Lose Yourself
Feel So Close
The 'A' Team
Weak
T For Texas (Blue Yodel No 1)
Ooops Up
Baby Don't Forget My Number
Big Yellow Taxi
Wig-Wam Bam
Live Forever
Sara Smile
One Step Beyond
"""Blah, Blah, Blah"""
A Boy Named Sue
Wind of Change
Hurt So Good
Give Me Just One Night
Turn to Stone
Nice To Be With You
Hoochie Coochie Man
Sweet Violets
What is Love?
Rock-A-Bye Your Baby (With a Dixie Melody)
It Had to Be You
Never Let Me Down Again
Sexy MF
I Ain't Got Nobody
I'll Take You There
The Final Countdown
Grace Kelly
Don't Sit Under the Apple Tree (With Anyone Else But Me)
Do You Really Want to Hurt Me?
Fallin'
F**k it (I Don't Want You Back)
Don't Wake Me Up
Party Doll
Wonderful Wonderful
The Aba Daba Honeymoon
Young Love
Me Against the Music
Ain't That Lovin' You Baby
Money Honey
Express Yourself
Don't Let the Sun Go Down On Me
Cleanin' Out My Closet
I'm Easy
"""Relax, Take It Easy"""
Jack & Jill
Shout
Mother-In-Law
Come As You Are
Colors of the Wind
(You Want To) make A Memory
Dancing in the Dark
Escape (The Pina Colada Song)
Alejandro
Eight Miles High
Blueberry Hill
Shambala
Love is the Drug
"""Doctor, Lawyer, Indian Chief"""
Bohemian Rhapsody (1991)
Reunited
Respect Yourself
Emma
"""Open The Door, Richard!"""
Head Over Feet
I Miss You
Everybody's Free (To Feel Good)
Can't Get Used to Losing You
I Hope You Dance
Brand New Key
The Lady in Red
Circle of Life
Cream
Loving You
Der Kommissar
Simon Says
Papa Loves Mambo
Mundian to Bach Ke
Children of the Revolution
Heartaches
Creeque Alley
Boom Boom Pow
Bye Bye Love
Too Little Too Late
You're Beautiful
If I Could Turn Back the Hands of Time
The Sun Ain't Gonna Shine (Anymore)
There There
That's Rock 'n' Roll
Return to Me
It Doesn't Matter Anymore
Swingin' School
A Little Bird Told Me
Manchild
Jackson
Taking Chances
Three Little Pigs
You Don't Have to Say You Love Me
Which Way You Goin' Billy?
Ain't No Mountain High Enough
Fergalicious
(Marie's the Name) His Latest Flame
Respectable
Overload
Can't Take My Eyes Off You
Bachelor Boy
Stars On 45 Vol 2
Burning Down the House
What's My Name?
Don't Look Back
Do the Bartman
(You Make Me Feel Like) a Natural Woman
You Really Got Me
Kiss Me
Wavin' Flag
Love At First Sight
Nights On Broadway
19-2000
Poker Face
Love in an Elevator
Shake Your Body (Down to the Ground)
Sexy Chick (sexy Bitch)
Pleasant Valley Sunday
Rock Your Body
Talk Dirty
Don't Know Why
Little Sister
When a Man Loves a Woman
Pata Pata
Anywhere Is
A Love Bizarre
The Dipsy Doodle
I Touch Myself
Hard Knock Life
Hot Diggity (Dog Ziggity Boom)
Tumbling Tumbleweeds
Summer in the City
If I Were a Boy
Tears Don't Lie
You Must Love Me
Just a Gigolo
Rock a Hula Baby
Come Go With Me
Shadow Dancing
Kiss & Say Goodbye
The Joker
Band On the Run
Banjo Boy
Moonglow & Theme From Picnic
Everything About You
Ain't No Other Man
Du
Shake the Disease
Son of a Preacher Man
Mandy
"""Answer Me, My Love"""
Mule Skinner Blues
The End of the World
People Got to Be Free
Clocks
Freak Like Me
Where Them Girls At
Tweedle Dee
I Apologize
Outside
If I Ever Fall in Love
Hate it Or Love It
Dance With Me
Love is in Control (Finger On the Trigger)
Beautiful
Girls Just Wanna Have Fun
The First Night
Ain't No Stoppin' Us Now
On Our Own (Theme from 'Ghostbusters II')
All My Loving
Mad About You
In Zaire
We're an American Band
"""Hold Me, Thrill Me, Kiss Me, Kill Me"""
Yellow River
Gypsy Woman (La Da Dee)
Don't Let Me Get Me
Crazy Horses
Mr Saxobeat
All Right
Paper Doll
Hold Your Head Up
Break it Down Again
Going Back to My Roots
Keep Holding On
Ready To Take A Chance
Cool
Tender
Everything She Wants
How You Gonna See Me Now
We Don't Need Another Hero (Thunderdome)
Stand & Deliver
All Or Nothing
Half As Much
I Kissed A Girl
Black Dog
Nothing Else Matters
Hi Hi Hi
Shake it Up
Everything's Gonna Be Alright
Forever Your Girl
Raspberry Beret
(Just Like) Starting Over
Lessons in Love
Tipsy
I Know
Love Story
The Last Waltz
The Rubberband Man
Grenade
I'll Walk Alone
Dolce Vita
This Kiss
What Would You Do?
Paperback Writer
Iris
Scream & Shout
All 4 Love
Yes Tonight Josephine
With Or Without You
Our Lips Are Sealed
You Make Me Feel (Mighty Real)
Hard Headed Woman
Right Here (Human Nature)
Barbados
American Life
Groove is in the Heart
The Only Thing That Looks Good On Me is You
What Goes Around Comes Around
Stop
Undercover Angel
The First Cut is the Deepest
"""This Ain't A Scene, It's An Arms Race"""
So Alive
Eternity
Harden My Heart
Oh Julie
Fire
Love Will Lead You Back
Impulsive
Careless Hands
Midnight in Chelsea
Puppy Love
Up Around the Bend
Hot Stuff
Mighty Quinn
Skyfall
You Were Meant for Me
Halo
(I Just) Died in Your Arms Tonight
Mo Money Mo Problems
Show Me Love
Little Jeannie
Mad World
Candyman
Never Can Say Goodbye
Let There Be Drums
Telephone Line
Freddie's Dead (Theme from 'Superfly')
Dirty Laundry
Against the Wind
Johnny B Goode
Goodbye Cruel World
Another Day in Paradise
Together Again
Waterloo
Puppet On a String
Virtual Insanity
Big Big World
Little Woman
Mercy Mercy Me (The Ecology)
Saving All My Love For You
Have You never Been Mellow?
Last Night a DJ Saved My Life
A Different Corner
Minnie the Moocher
The Fear
Addam's Groove
Lady Bump
You Wear it Well
La Tortura
Please Mr Postman
Fame
OMG
You Are Not Alone
Tonight (I'm F**kin' You)
1985
Alone Again (Naturally)
This is How We Do It
It's My Party
Lil' Red Riding Hood
So Rare
Born to Make You Happy
My Cherie Amour
Here Comes the Hotstepper
Southern Nights
Janie's Got a Gun
Hey You
Dedicated Follower of Fashion
Elegantly Wasted
I've Heard That Song Before
Push It
I Want to Hold Your Hand
Superman (It's Not Easy)
Dragnet
When You're in Love With a Beautiful Woman
Ti Amo
Rockin' All Over the World
Brother Louie
Drowning
Shoo-Shoo Baby
Down
Ballad of Davy Crockett
Bossa Nova Baby
Yester-Me Yester-You Yesterday
Hello Mary Lou
I Can't Wait
Take It Off
Wheel of Fortune
When You Were Young
Children
On The Radio
Bulletproof!
Besame Mucho
Stray Cat Strut
Paradise By the Dashboard Light
After the Lovin'
Personality
"""On the Atchison, Topeka & the Santa Fe"""
This Ain't a Love Song
Boys (Summertime Love)
Denis
You're in My Heart (The Final Acclaim)
The Animal Song
Too Fat Polka (I Don't Want Her-You Can Have Her-She's Too Fat For Me)
Pinetop's Boogie Woogie
Stole
Albatross
Too Close
Mack the Knife
Especially For You
Tous les garcons & les filles
Mr Blue
Emotions
All summer long
How Sweet it is (to be Loved by You)
Rock 'n' Roll Waltz
When Will I See You Again?
The Happening
If You Love Somebody Set Them Free
Just My Imagination (Running Away With Me)
Opposites Attract
Mustapha
Moviestar
Because I Got High
The Only Way is Up
First of May
Marie
Video Killed the Radio Star
Don't Stop
The Last Dance
Mouldy Old Dough
Sweet About Me
7 Seconds
The Moon Got in My Eyes
Two Wrongs
Pass the Dutchie
Ms Jackson
Papa Don't Preach
Radio
Getting Over You
Boogie Chillun
Because They're Young
Stronger (What Doesn't Kill You)
Delta Dawn
1/2/2003
Maggie May
Sandstorm
Mashed Potato Time
Dance to the Music
Love Changes Everything
Your Body Is a Wonderland
A Woman in Love
Whistle
The Young Ones
A Groovy Kind of Love
Lookin' Out My Back Door
Sorry
Sweet Thing
"""Answer Me, Lord Above"""
Needles & Pins
Sweet Little Sixteen
Kiss On My List
The War Song
Rosanna
Catch a Falling Star
She Bop
Two To Make It Right
Hold On My Heart
Born to Be My Baby
The Lonely Bull (El Solo Torro)
I Need to Know
Welcome to My Life
Rasputin
Touch Me (All Night Long)
Black Betty
The Letter
Tell Me Why
I Love the Nightlife
My Sacrifice
Samba De Janeiro
Trash
Mirrors
Church of the Poison Mind
All Kinds of Everything
Whole Lotta Love
Summer Breeze
The Tide is High (Get the Feeling)
When You Were Sweet Sixteen
Jesus to a Child
Pon De Replay
That's the Way Love Goes
Boogie Fever
Breakfast At Tiffany's
Pump It
Blue Jean
Sign O' the Times
Rhythm of My Heart
Jeremy
Sometimes When We Touch
Time in a Bottle
Master Blaster (Jammin')
It's No Good
The Little Shoemaker
Valencia
Addicted to Love
Also Sprach Zarathustra (2001)
Lucy in the Sky With Diamonds
Welcome Back
Objection (Tango)
Can the Can
What's Another Year
This Ole House
"""Goodnight, Irene"""
April Showers
Please Don't Leave Me
"""Bills, Bills, Bills"""
Take That Look Off Your Face
I'll Buy That Dream
Short People
Let's All Chant
Hope of Deliverance
Come a Little Bit Closer
I Have Nothing
Numb/Encore
Vienna
Informer
My Name is Prince
Pony Time
Man in the Mirror
Lonely Night (Angel Face)
Tubthumping
I'm Still Standing
For Once in My Life
"""Oh, Pretty Woman"""
You Can't Hurry Love
"""Hello, Goodbye"""
Don't Worry Be Happy
Make it With You
Cocktails For Two
Blue Suede Shoes
If I Let You Go
Round & Round
Ding-A-Dong
Cold As Ice
What's Up?
Don't Wanna Fall in Love
Rivers of Babylon
Blame it On the Rain
Bust a Move
Under Pressure
Everybody (Backstreet's Back)
Hands
"""Have You Seen Your Mother, Baby"""
When I Think of You
I'm the Leader of the Gang (I Am)
Far Away
Love's Theme
(I'll Never Be) Maria Magdalena
Lonely This Christmas
Smile
The 'in' Crowd
"""Hey, Brother"""
Total Eclipse of the Heart
Hooked On a Feeling
Moon Glow (1934)
Bohemian Rhapsody
The Boys of Summer
Prisoner of Love
Happy Together
Let's Wait Awhile
Crazy For You
I'll Never Fall in Love Again
Sweet Love
Bette Davis Eyes
A Song Of Joy
Dancing in the City
Oh My Papa (O Mein Papa)
I Love Rock 'n' Roll
Time After Time
In The Still Of The Nite (I'll Remember)
Alley-oop
"""Say, Has Anybody Seen My Sweet Gypsy Rose?"""
I'm Your Baby Tonight
Love Really Hurts Without You
Only One Woman
Be My Baby
Bang Bang (My Baby Shot Me Down)
No Son of Mine
Get UR Freak On
Love to Love You Baby
Melody of Love
You Found Me
I Can Help
Bad Boys
Hearts
Ode to My Family
Don't Break the Heart That Loves You
Say It Right
With These Hands
I'm in the Mood
He'll Have to Go
Don't Be Cruel
Maybe
I Went to Your Wedding
Norman
Wishing On a Star
Smack That
Xanadu
To Each His Own
There goes my baby
Grease Megamix
World
Swear it Again
Showing Out (Get Fresh At the Weekend)
Karma
Lost in Your Eyes
Sorry Seems to Be the Hardest Word
Mammy Blue
El Condor Pasa (If I Could)
Kissing a Fool
Ain't That a Shame
Underneath it All
Just Another Day
Low
December 1963 (Oh What a Night)
Love is Here & Now You're Gone
Tired of Toein' The Line
Jingle Jangle
Love Grows (Where My Rosemary Goes)
Shut Up
Sorry I'm a Lady
More Than a Feeling
Black Night
Take a Bow
Hello-A
(I Can't Get No) Satisfaction
Hot Child In The City
They Don't Know
Teenage Rampage
San Francisco (Wear Some Flowers in Your Hair)
Stay (I Missed You)
Welcome to the Black Parade
Save Your Love
Leave a Light On
Can't Hold Us
I'll Never Love This Way Again
Garden Party
C'Mon Everybody
All About That Bass
House of the Rising Sun
Back & Forth
Girlfriend
Blue Monday
Watching the Wheels
The Old Lamplighter
The Best Disco in Town
Summer Girls
Pretend
Kiss From a Rose
My Perogative
Sister Golden Hair
Rumble
(The Lights Went Out In) Massachusetts
January
Carrie-Anne
Hold Me Now
Yeah!
Our House
Wiggle It
Try Again
Love Hangover
I'll Be Home
The Show Must Go On
Georgy Girl
All Around the World
Heart-Shaped Box
Don't Walk Away
What Becomes of the Broken Hearted
After All
Live While We're Young
Be Faithful
Bad
All I Need is a Miracle
My Love is Your Love
Sharing The Night Together
Sexyback
Down Down
I Want You
Can't Fight This Feeling
I Don't Want to Set the World On Fire
Good Vibrations
Party In The U.s.a.
Lips of An Angel
Move Your Feet
Green Onions
Love Lockdown
Lied eines jungen Wachtposten (Lili Marlen)
Living On My Own
You Ain't Seen Nothin' Yet
Tears in Heaven
Annie's Song
Dolannes-Melodie
My Love
Sara
Lazy Sunday
I Got You
Waiting On a Friend
Waking up in Vegas
Two Princes
I Can See For Miles
True Faith
Golden Years
Cat People (Putting Out Fire)
Too Late For Goodbyes
Sundown
"""More, More, More"""
The Way You Move
Two Of Hearts
All or Nothing at All
Reach Out (I'll Be There)
Get Up & Boogie (That's Right)
Wherever You Will Go
Through the Rain
U Got the Look
Eye in the Sky
Return of the Mack
Walkin' On the Sun
Heart of Stone
(Sittin' On) the Dock of the Bay
Words
I'll Make Love to You
Every Little Thing She Does is Magic
Pop
Ringo
Ballad of the Green Berets
No Other Love
Enola Gay
Tip Toe Thru' The Tulips With Me
It Don't Come Easy
Human Touch
Cruel Summer
French Kiss
I Want You Back
Euphoria
Rock Your Baby
Unchained Melody
I Say a Little Prayer
Duelling Banjos
Walk Right Back
Sittin' Up In My Room
Johnny Remember Me
Men in Black
In Too Deep
Theme From 'A Summer Place'
Hungry Heart
Tumbling Dice
Roll Over Beethoven
Left Outside Alone
Hold Me
Baby Come Back
Moonlight Becomes You
Tragedy
Ball of Confusion (That's What the World is Today)
Lady Godiva
Lowdown
I Saw Her Again
Photograph
My Boy Lollipop
Higher Ground
My Name Is
Something Got Me Started
Addictive
Free
She Believes (In Me)
The Christmas Song (Chestnuts Roasting On An Open Fire)
Blue Moon of Kentucky
Vogue
Everybody Plays the Fool
No More 'I Love Yous'
Rip it Up
9pm (Till I Come)
Brimful of Asha
The Woodpecker Song
How We Do (Party)
"""We Three (My Echo, My Shadow & Me)"""
Hungry Like the Wolf
Breathe Again
Thanks For the Memory
Day 'n' Nite
('til) I Kissed You
Closer
I Wanna Go Home (The Wreck of the 'John B')
Mama
Someone Saved My Life Tonight
Baby Baby
Fools Rush In (Where Angels Fear To Tread)
Caravan of Love
Jailhouse Rock
You Learn
Don't Forget Me (When I'm Gone)
I Got Stung
Let Me Love You (Until You Learn To Love Yourself)
Michelle
Does Your Mother Know
Fading Like a Flower (Every Time You Leave)
I Get Around
A Mess of Blues
Behind Blue Eyes
Desert Rose
Have You Ever Really Loved a Woman?
"""I Want You, I Need You, I Love You"""
Hands Clean
A Fifth of Beethoven
Naughty Lady of Shady Lane
I Want to Know What Love Is
25 Or 6 to 4
Poppa Joe
All the Small Things
Pinball Wizard
You Give Me Something
American Boy
Turn The Beat Around
Music
Sometimes Love Just Ain't Enough
Mirror Man
Wild Boys
It Must Have Been Love
Kokomo
Buttons
If Tomorrow Never Comes
Family Portrait
Unwritten
Maid of Orleans (The Waltz Joan of Arc)
Thong Song
Lambada
Because You're Mine
If You're Not the One
Until it Sleeps
Mannish Boy
"""See Me, Feel Me"""
Can the Circle be Unbroken (Bye & Bye)
Who's That Girl?
Co-Co
Intergalactic
Boogie On Reggae Woman
Mona Lisa
Ignition
They Can't Take That Away From Me
The Wreck of the Edmund Fitzgerald
Everybody's Talkin'
Baby Jane
Harlem Shuffle
Somebody Told Me
Dreamer
On & On
Oh Happy Day
She's Not There
Rock 'n' Roll (Part 2)
I Hear a Symphony
Old Man & Me (When I Get To Heaven)
A String of Pearls
"""Rudolph, the Red-Nosed Reindeer"""
Penny Lane
King of Pain
Black & Yellow
Action
Young Folks
Sunshine
Clint Eastwood
Wolverton Mountain
Too Late To Turn Back Now
Coco Jamboo
Come Back to Me
My Guy
My Sister & I
Personal Jesus
Nobody Knows
The Safety Dance
To Be With You
Black & White
Oh Well (Part 1)
Dream On
Turn Me On
Let it Rock
Lily the Pink
"""You're Sixteen, You're Beautiful (And You're Mine)"""
Hurt
Kashmir
Killer
Give a Little Bit
So Much in Love
Senorita
Living in America
Like a Prayer
Nights in White Satin
No Diggity
One Day in Your Life
(When You Gonna) give It Up To Me
A Little More Love
Bitter Sweet Symphony
Gotta Tell You
Shalala Lala
Leavin'
Glory of Love
My Coo-Ca-Choo
When Will I Be Loved?
More Than Words
Inconsolable
Dream a Little Dream of Me
Shaddup You Face
Learnin' the Blues
Jive Talkin'
Exhale (Shoop Shoop)
Blue Champagne
Love Me Or Leave Me
Finally
Seasons in the Sun
Hero
Pretty Fly (For a White Guy)
You Send Me
Love is a Wonderful Thing
Happy Jack
You You You
It's Over
Lost In Emotion
Trade Winds
Domino Dancing
Rhapsody in Blue
Botch-a-me (Ba-ba-baciami piccina)
Three Steps to Heaven
Never Never Never
She's a Rainbow
Sherry
All Shook Up
I Ran (So Far Away)
Four Minutes
Do Wah Diddy Diddy
I Fought the Law
It's Love-Love-Love
Mmmbop
Apologize
Let it Be
Stronger
A Thousand Miles
Back to Life (However Do You Want Me)
Let Me Blow Ya Mind
They Don't Care About Us
Walking to New Orleans
Far Away Places
Reflections
Miss You Like Crazy
Do That to Me One More Time
Baby One More Time
Pictures of Matchstick Men
Dark Lady
I Wish it Would Rain Down
I Turn to You
Huggin' & Chalkin'
Locked Out Of Heaven
Wooly Bully
Forever
I Don't Wanna Dance
Three Little Fishies
"""Goodnight, My Love"""
The Universal
When
If I Ruled the World
Get Ready
A Kiss to Build a Dream On
Lola
Devil With the Blue Dress
Everything I Own
This I Promise You
A Tree in the Meadow
Guilty
Ring My Bell
Heartless
Two Out of Three Ain't Bad
Things That Make You Go Hmmm...
I Swear
Poor Side Of Town
Over the Rainbow
This is Not America
Travellin' Light
Angie
The Heat is On
You Can Call Me Al
You've Got Your Troubles
(It's No) Sin
Move On Baby
My Sweet Lord
Scandalous
Orinoco Flow
Crush
"""When the Going Gets Tough, the Tough Get Going"""
I'll Stand By You
Party All The Time
Small Town
The Things We Do For Love
He's So Shy
Under the Moon of Love
Gangsta's Paradise
(I've Had) the Time of My Life
Stay Another Day
Larger Than Life
Lovesick Blues
Abracadabra
Two Tribes
She's Not You
Sincerely
Alane
Secret Love
I'm Making Believe
Lovestoned
Chain Reaction
Bad Boy
Cartoon Heroes
Bootylicious
Where My Girls At?
Chickery Chick
Beverly Hills
Diamonds
Substitute
(Can't Live Without Your) Love & Affection
In the Year 2525 (Exordium & Terminus)
Lost Without Your Love
Mozart Symphony No 40 in G Minor
My Melody Of Love
Frenesi
It's Raining Men
Java
Against All Odds (Take a Look At Me Now)
Am I Wrong
Have You Ever?
Love Is Blue (L'Amour Est Bleu)
Scatman's World
Ring Ring
Tears On My Pillow
Your Cheatin' Heart
Let 'Em In
All I Have to Do is Dream
Diana
(Sexual) Healing
The One & Only
I Wanna Be Loved
Secret Garden
Bailamos
My Oh My
Twistin' the Night Away
How Do I Live?
My Home Town
Sweet Freedom
Ain't That Just The Way (That Love Goes Down)
I Want to Wake Up With You
Quarter to Three
Bad Moon Rising
Lady (You Bring Me Up)
Elenore
I Shot the Sheriff
High
Everybody Everybody
And the Beat Goes On
Sideshow
Woman Woman
Golden Earrings
Always Look On the Bright Side of Life
Tom Dooley
Whispers in The Dark
Pride (In the Name of Love)
Young Wild Free
Born to Be Alive
To Know Him is to Love Him
It's Almost Tomorrow
Soldier Boy
Valerie
Gin & Juice
Rock 'n' Me
That's My Desire
Powder Your Face With Sunshine
Honeycomb
So Yesterday
Back At One
Hot Line
Black Velvet
Seasons Change
We're All Alone
A Hazy Shade of Winter
Didn't We Almost Have it All
The Fly
Where is the Love?
Rag Doll
Tequila
Be Without You
One More Night
American Pie
Ay-Round The Corner (Bee-Hind The Bush)
You Belong To The City
Something Happened On the Way to Heaven
Ring of Fire
People Everyday
War
Banana Boat Song
Yesterday
Spice Up Your Life
Show Me Heaven
Stranger in Moscow
Breakaway
Original Prankster
